UTMX	UTMY	Idxa	Gridpt_no.	Sampled	Elev_mean	Slope_mean	Aspece_mean	Aspval_mean	Aspwest_mean	Cir_mean	Cir_median	Red_mean	Red_median	Grn_mean	Grn_median	SpringDist	StreamDist	Dist2Water	DepthClass
476209	4636243	99000552	124	n	1961.54	21.7971	167.67	0.188576	0.617624	151.895	157	141.781	156	119.183	130	4005.63489	5393.57864	4005.63489	MedDeep
476509	4636243	99000553	125	n	1971.23	19.2282	227.306	0.235762	0.266792	137.204	138	115.756	116	96.0282	97	3712.73067	5610.28775	3712.73067	Shallow
476809	4636243	99000554	126	n	2039.66	25.8487	286.449	0.450967	0.175915	131.462	131	101.052	100	83.2221	82	3421.05643	5702.36051	3421.05643	MedDeep
477109	4636243	99000555	127	n	2138.84	26.0447	284.981	0.415913	0.11328	146.139	148	124.551	125	107.157	109	3130.95596	5420.91261	3130.95596	MedDeep
477409	4636243	99000556	128	n	2218.73	12.2755	302.553	0.522766	0.108956	145.398	144	130.169	129	110.873	108	2842.91107	5141.56315	2842.91107	Shallow
477709	4636243	99000557	129	n	2259.84	9.2596	289.468	0.537443	0.200882	141.653	140	125.048	123	102.819	101	2557.61637	4864.67365	2557.61637	Shallow
478009	4636243	99000558	130	n	2277.03	7.9356	198.071	0.096735	0.365944	153.592	153	139.92	139	122.252	120	2276.10624	4590.68926	2276.10624	Shallow
478309	4636243	99000559	131	n	2273.58	7.811	150.332	0.366497	0.707364	148.968	149	129.186	129	112.21	112	1999.97944	4320.16273	1999.97944	Shallow
478609	4636243	99000560	132	n	2270.26	4.9162	221.113	0.322193	0.327051	148.978	150	131.513	133	109.263	109	1731.81288	4053.78639	1731.81288	Shallow
478909	4636243	99000561	133	n	2267.59	6.4328	65.1867	0.881669	0.786168	147.69	148	109.223	124	93.0792	99	1475.95189	3792.43487	1475.95189	Shallow
479209	4636243	99000562	134	n	2232.87	6.9317	119.56	0.800568	0.748207	144.218	144	117.171	116	101.725	100	1240.03714	3537.22212	1240.03714	Deep
479509	4636243	99000563	135	n	2228.97	6.0638	138.802	0.688846	0.690479	144.506	143	117.576	115	103.25	99	1037.76213	3289.57725	1037.76213	Medium
479809	4636243	99000564	136	n	2219.02	4.2584	152.291	0.275036	0.675102	158.853	160	141.888	145	122.022	121	892.30509	3051.34341	892.30509	Medium
480109	4636243	99000565	137	n	2209.68	2.9448	143.714	0.42761	0.660534	137.802	137	117.334	117	101.839	101	833.94634	2824.9026	833.94634	Medium
480409	4636243	99000566	138	n	2195.98	8.4531	171.5	0.70636	0.630274	129.137	127	100.326	97	86.0879	83	880.18442	2613.32219	880.18442	Medium
480709	4636243	99000567	139	n	2197.94	6.6739	166.124	0.612609	0.642912	136.409	136	116.307	116	103.18	100	1016.84942	2420.50222	1016.84942	Shallow
481009	4636243	99000568	140	n	2171.72	5.9259	101.017	0.580527	0.765225	133.234	132	107.961	106	93.0855	91	1213.77134	2251.26833	1213.77134	Medium
481309	4636243	99000569	141	n	2150.98	9.0991	112.199	0.59357	0.791329	138.14	138	105.766	105	95.5134	95	1446.54727	2111.29989	1446.54727	Shallow
481609	4636243	99000570	142	n	2131.28	5.3337	115.608	0.69263	0.750383	129.359	128	98.2528	98	87.9634	87	1700.51672	2006.73001	1700.51672	Medium
481909	4636243	99000571	143	n	2130.79	7.5999	240.069	0.715012	0.370126	126.564	123	102.291	100	89.4563	86	1967.48958	1943.28162	1943.28162	Medium
482209	4636243	99000572	144	n	2151.41	9.0667	236.009	0.497786	0.226475	124.485	124	105.725	105	91.1578	89	1912.27242	1925.02509	1912.27242	Deep
482509	4636243	99000573	145	n	2166.68	1.5508	189.559	0.509763	0.524753	132.677	134	117.093	118	99.128	99	1787.34549	1827.09307	1787.34549	Medium
482809	4636243	99000574	146	n	2160.49	3.5755	131.715	0.405712	0.856528	137.204	137	118.888	119	100.129	100	1706.58198	1752.38329	1706.58198	Medium
483109	4636243	99000575	147	n	2152.37	4.1291	147.641	0.354715	0.698597	133.928	134	118.958	120	99.6844	100	1676.3771	1727.25949	1676.3771	Medium
483409	4636243	99000576	148	n	2139.56	4.8465	129.269	0.479257	0.764559	130.624	131	121.224	123	100.315	101	1699.42881	1753.85389	1699.42881	Medium
483709	4636243	99000577	149	n	2126.84	11.7609	164.42	0.456336	0.648552	125.655	127	117.597	122	97.0941	99	1530.28357	1829.913	1530.28357	Medium
484009	4636243	99000578	150	n	2110.61	12.8915	68.9331	0.671027	0.639307	126.633	128	111.77	113	94.6405	95	1383.61206	1949.65631	1383.61206	Medium
484309	4636243	99000579	151	n	2095.87	10.649	69.9295	0.859076	0.638168	113.687	112	98.5454	96	81.8872	80	1198.53879	2083.98762	1198.53879	Medium
484609	4636243	99000580	152	n	2081.32	8.7658	92.5381	0.960571	0.607297	114.714	113	100.548	99	82.9356	81	1018.62929	1963.94056	1018.62929	Medium
484909	4636243	99000581	153	n	2074.56	8.0709	32.4401	0.96429	0.671177	110.089	110	96.3373	97	78.3887	79	904.82928	1884.44173	904.82928	Medium
485209	4636243	99000582	154	n	2057.15	6.1917	68.0408	0.840281	0.819228	130.154	130	122.156	123	101.215	101	883.07782	1850.72385	883.07782	Medium
485509	4636243	99000583	155	n	2042.23	6.2156	98.2842	0.899473	0.683439	130.518	132	125.686	127	103.715	105	959.65454	1603.49262	959.65454	Deep
485809	4636243	99000584	156	n	2030.15	6.254	122.449	0.496741	0.646422	133.524	134	130.429	132	106.91	107	1114.47173	1305.17323	1114.47173	Deep
